Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Divi's Laboratories Ltd.,DIVISLAB,Healthcare,EQ,3590.35,3649.6,3581.05,3630.4,3647,16.6,0.46,304397,1099975087,5425.1,3365.55,-17.65,1.09
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,EQ,3575,3606.75,3517,3575,3594,19,0.53,157931,563530973.5,6243.6,3180.55,-19.14,-7.35
DLF Ltd.,DLF,Realty,EQ,310.4,324.4,309.45,312.7,323,10.3,3.29,5557896,1764076190,449.7,279.45,11.24,-9.51
Avenue Supermarts Ltd.,DMART,Consumer Services,EQ,3394.45,3406.65,3331.1,3406.1,3395,-11.1,-0.33,311228,1049656890,5900,3186,1.85,-14.26
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,EQ,4385,4395,4290.05,4393.8,4385,-8.8,-0.2,304799,1327369165,5614.6,3654,-18.98,0.55
Easy Trip Planners Ltd.,EASEMYTRIP,Consumer Services,EQ,392.2,402.9,390.4,391.4,400.95,9.55,2.44,1105653,441277168.8,717.65,261,-0.66,2.78
eClerx Services Ltd.,ECLERX,Services,EQ,1920.25,1920.25,1888.8,1920.25,1905.2,-15.05,-0.78,12475,23805543.5,2970,1755.65,-,-5.53
Edelweiss Financial Services Ltd.,EDELWEISS,Financial Services,EQ,52.05,52.5,50.85,51.55,51.85,0.3,0.58,613698,31666816.8,100.9,49.4,-28.75,-5.76
Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components,EQ,2775,2809.8,2750.4,2794.35,2789,-5.35,-0.19,367512,1018802066,2994,2159.55,4.61,0.49
E.I.D. Parry (India) Ltd.,EIDPARRY,Fast Moving Consumer Goods,EQ,525.5,532.55,513,530.6,529,-1.6,-0.3,228073,119282179,576,377.3,24.42,-4.51
EIH Ltd.,EIHOTEL,Consumer Services,EQ,124.4,127.95,124.2,124.9,126.9,2,1.6,162116,20512537.48,171.75,100,11.57,-7.58
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods,EQ,351.5,362.4,344.35,358.5,347,-11.5,-3.21,204302,71922476.08,422.3,191.3,73.27,4.11
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,EQ,417.2,429.6,415.35,420.25,424.95,4.7,1.12,102892,43498621.92,621.8,393.4,-25,0.94
Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components,EQ,1418.8,1419,1396.85,1411.7,1410,-1.7,-0.12,140419,197643955.1,1989,1047.2,-13.14,7.94
